"name","wiki_link","description"
"Azerbaijan","https://en.wikipedia.org/wiki/Azerbaijan","Azerbaijan (/ˌæzərbaɪˈdʒɑːn/ AZ-ər-by-JAHN; Azerbaijani: Azərbaycan [ɑzæɾbɑjˈd͡ʒɑn]), officially the Republic of Azerbaijan (Azerbaijani: Azərbaycan Respublikası [ɑzæɾbɑjˈd͡ʒɑn ɾespublikɑˈsɯ]), is a country in the South Caucasus region, situated at the crossroads of Southwest Asia and Southeastern Europe.[6] It is bound by the Caspian Sea to the east, Russia to the north, Georgia to the northwest, Armenia to the west and Iran to the south. The exclave of Nakhchivan is bound by Armenia to the north and east, Iran to the south and west, and has an 11 km long border with Turkey in the north west."
"The Bahamas","https://en.wikipedia.org/wiki/The_Bahamas","The Bahamas (/bəˈhɑːməz/ ( listen)), known officially as the Commonwealth of The Bahamas,[11] is an archipelagic state within the Lucayan Archipelago. It consists of more than 700 islands, cays, and islets in the Atlantic Ocean, and is located north of Cuba and Hispaniola (Haiti and the Dominican Republic), northwest of the Turks and Caicos Islands, southeast of the US state of Florida, and east of the Florida Keys. The capital is Nassau on the island of New Providence. The designation of ""the Bahamas"" can refer either to the country or to the larger island chain that it shares with the Turks and Caicos Islands. As stated in the mandate/manifesto of the Royal Bahamas Defence Force, the Bahamas territory encompasses 470,000 km2 (180,000 sq mi) of ocean space."
"Bahrain","https://en.wikipedia.org/wiki/Bahrain","Bahrain (/bɑːˈreɪn/ ( listen); Arabic: البحرين‎ al-Baḥrayn IPA: [aɫ baħrajn] ( listen)), officially the Kingdom of Bahrain (Arabic: مملكة البحرين‎  Mamlakat al-Baḥrayn), is an Arab constitutional monarchy in the Persian Gulf. It is an island country consisting of a small archipelago centered around Bahrain Island, situated between the Qatar peninsula and the north eastern coast of Saudi Arabia, to which it is connected by the 25 km (16 mi) King Fahd Causeway. Bahrain's population is 1,234,571 (c. 2010), including 666,172 non-nationals.[8] It is 780 km2 in size, making it the third smallest nation in Asia after the Maldives and Singapore.[9]"
"Bangladesh","https://en.wikipedia.org/wiki/Bangladesh","Bangladesh (/ˌbæŋɡləˈdɛʃ/ ( listen) or /ˌbɑːŋ-/; Bengali: বাংলাদেশ Bāṃlādēśa, pronounced [ˈbaŋlad̪eʃ] ( listen), lit. ""The country of Bengal""), officially the People's Republic of Bangladesh (গণপ্রজাতন্ত্রী বাংলাদেশ Gaṇaprajātantrī Bāṃlādēśa), is a country in South Asia. It shares land borders with India and Myanmar (Burma). Nepal, Bhutan and China are located near Bangladesh but do not share a border with it. The country's maritime territory in the Bay of Bengal is roughly equal to the size of its land area.[12] Bangladesh is the world's eighth most populous country. Dhaka is its capital and largest city, followed by Chittagong, which has the country's largest port."
"Barbados","https://en.wikipedia.org/wiki/Barbados","Barbados (/bɑːrˈbeɪdɒs/ ( listen) or /bɑːrˈbeɪdoʊs/) is an island country in the Lesser Antilles, in the Caribbean region of North America. It is 34 kilometres (21 miles) in length and up to 23 km (14 mi) in width, covering an area of 432 km2 (167 sq mi). It is situated in the western area of the North Atlantic and 100 km (62 mi) east of the Windward Islands and the Caribbean Sea;[6] therein, it is about 168 km (104 mi) east of the islands of Saint Vincent and the Grenadines and 400 km (250 mi) north-east of Trinidad and Tobago. Barbados is outside the principal Atlantic hurricane belt. Its capital and largest city is Bridgetown."
"Belarus","https://en.wikipedia.org/wiki/Belarus","Belarus (/bɛləˈruːs/ ( listen) be-lə-ROOS; Belarusian: Беларусь, translit. Biełaruś; IPA: [bʲɛlaˈrusʲ]; Russian: Беларусь, IPA: [bʲɪlɐˈrusʲ]), officially the Republic of Belarus (Belarusian: Рэспубліка Беларусь; Russian: Республика Беларусь), formerly known by its Russian name Byelorussia or Belorussia (Russian: Белоруссия), is a landlocked country in Eastern Europe[7] bordered by Russia to the northeast, Ukraine to the south, Poland to the west, and Lithuania and Latvia to the northwest. Its capital and most populous city is Minsk. Over 40% of its 207,600 square kilometres (80,200 sq mi) is forested. Its major economic sectors are service industries and manufacturing.[8] Until the 20th century, different states at various times controlled the lands of modern-day Belarus, including the Principality of Polotsk (11th to 14th centuries), the Grand Duchy of Lithuania, the Polish–Lithuanian Commonwealth, and the Russian Empire."
"Belgium","https://en.wikipedia.org/wiki/Belgium","Belgium (/ˈbɛldʒəm/ ( listen)),[A] officially the Kingdom of Belgium, is a sovereign state in Western Europe bordered by France, the Netherlands, Germany, Luxembourg, and the North Sea. It is a small, densely populated country which covers an area of 30,528 square kilometres (11,787 sq mi) and has a population of about 11 million people. Straddling the cultural boundary between Germanic and Latin Europe, Belgium is home to two main linguistic groups: the Dutch-speaking, mostly Flemish community, which constitutes about 59 percent of the population, and the French-speaking, mostly Walloon population, which comprises about 40 percent of all Belgians. Additionally, there is a small ~1 percent group of German speakers who live in the East Cantons."
"Belize","https://en.wikipedia.org/wiki/Belize","Belize (/bəˈliːz/ ( listen)), formerly British Honduras, is an independent country on the eastern coast of Central America. Belize is bordered on the north by Mexico, on the south and west by Guatemala, and on the east by the Caribbean Sea. Its mainland is about 290 km (180 mi) long and 110 km (68 mi) wide."
"Benin","https://en.wikipedia.org/wiki/Benin","Benin (US: /bɪˈniːn, -ˈnɪn/ bǝ-NEEN or -NIN; UK: /bɛˈniːn/ beh-NEEN; French: Bénin pronounced [benɛ̃]), officially the Republic of Benin (French: République du Bénin) and formerly Dahomey, is a country in West Africa. It is bordered by Togo to the west, Nigeria to the east, and Burkina Faso and Niger to the north. The majority of its population lives on the small southern coastline of the Bight of Benin, part of the Gulf of Guinea in the northernmost tropical portion of the Atlantic Ocean.[7] The capital of Benin is Porto-Novo, but the seat of government is in Cotonou, the country's largest city and economic capital. Benin covers an area of 114,763 square kilometers[1] and its population in 2016 was estimated to be approximately 10.87 million[2]. Benin is a tropical nation, highly dependent on agriculture, with substantial employment and income arising from subsistence farming.[8]"
"Bhutan","https://en.wikipedia.org/wiki/Bhutan","Bhutan (/buːˈtɑːn/; འབྲུག་ཡུལ་ Druk Yul), officially the Kingdom of Bhutan (འབྲུག་རྒྱལ་ཁབ་ Druk Gyal Khap),[10] is a landlocked country in South Asia. Located in the Eastern Himalayas, it is bordered by Tibet Autonomous Region of China in the north, India in the south, the Sikkim state of India and the Chumbi Valley of Tibet in the west, and Arunachal Pradesh state of India in the east and Assam in the south. Bhutan is geopolitically in South Asia and is the region's second least populous nation after the Maldives. Thimphu is its capital and largest city, while Phuntsholing is its financial center."
"Bolivia","https://en.wikipedia.org/wiki/Bolivia","Bolivia (/bəˈlɪviə/ ( listen); Spanish: [boˈliβja]; Guarani: Mborivia [ᵐboˈɾiʋja]; Quechua: Buliwya [bʊlɪwja]; Aymara: Wuliwya [wʊlɪwja]), officially known as the Plurinational State of Bolivia (Spanish: Estado Plurinacional de Bolivia),[8][9] is located in western-central South America. It is bordered to the north and east by Brazil, to the southeast by Paraguay, to the south by Argentina, to the southwest by Chile, and to the northwest by Peru. It has no ocean access. One-third of the country is the Andean mountain range."
"Bosnia and Herzegovina","https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina","Bosnia and Herzegovina (/ˈbɒzniə ən ˌhɛərtsəɡoʊˈviːnə, -ˌhɜːrt-, -ɡə-/ ( listen) or /ˌhɜːrtsəˈɡɒvɪnə/;[10][11] abbreviated B&H; Bosnian and Serbian: Bosna i Hercegovina (BiH) / Боснa и Херцеговина (БиХ), Croatian: Bosna i Hercegovina (BiH) pronounced [bôsna i xěrt͡seɡoʋina]), sometimes called Bosnia-Herzegovina, and often known informally as Bosnia, is a country in Southeastern Europe located on the Balkan Peninsula. Sarajevo is the capital and largest city. Bordered by Croatia to the north, and west; Serbia to the east; Montenegro to the southeast; and the Adriatic Sea to the south, with a coastline about 20 kilometres (12 miles) long surrounding the town of Neum. In the central and eastern interior of the country the geography is mountainous, in the northwest it is moderately hilly, and the northeast is predominantly flatland. The inland is a geographically larger region and has a moderate continental climate, with hot summers and cold and snowy winters. The southern tip of the country has a Mediterranean climate and plain topography."
"Botswana","https://en.wikipedia.org/wiki/Botswana","Botswana (/bɒtˈswɑːnə/), officially the Republic of Botswana (Tswana: Lefatshe la Botswana), is a landlocked country located in Southern Africa. The citizens refer to themselves as Batswana (singular: Motswana).[6][not in citation given] Formerly the British protectorate of Bechuanaland, Botswana adopted its new name after becoming independent within the Commonwealth on 30 September 1966.[7] Since then, it has maintained a strong tradition of stable representative democracy, with a consistent record of uninterrupted democratic elections and the best perceived corruption ranking in Africa for the last four years.[8]"
"Brazil","https://en.wikipedia.org/wiki/Brazil","Brazil (/brəˈzɪl/ ( listen); Portuguese: Brasil [bɾaˈziw][11]), officially the Federative Republic of Brazil (Portuguese: República Federativa do Brasil,  listen (help·info)[12]), is the largest country in both South America and Latin America. At 8.5 million square kilometers (3.2 million square miles)[13] and with over 208 million people, Brazil is the world's fifth-largest country by area and the sixth-most populous. The capital is Brasília, and the largest city by population is São Paulo. It is the largest country to have Portuguese as an official language and the only one in the Americas.[14][15] Bounded by the Atlantic Ocean on the east, Brazil has a coastline of 7,491 kilometers (4,655 mi).[16] It borders all other South American countries except Ecuador and Chile and covers 47.3% of the continent's land area.[17] Its Amazon River basin includes a vast tropical forest, home to diverse wildlife, a variety of ecological systems, and extensive natural resources spanning numerous protected habitats.[16] This unique environmental heritage makes Brazil one of 17 megadiverse countries, and is the subject of significant global interest and debate regarding deforestation and environmental protection."
"Brunei","https://en.wikipedia.org/wiki/Brunei","Brunei (/bruːˈnaɪ/ ( listen), broo-NYE), officially the Nation of Brunei, the Abode of Peace[10] (Malay: Negara Brunei Darussalam, Jawi: نڬارا بروني دارالسلام‎), is a sovereign state located on the north coast of the island of Borneo in Southeast Asia. Apart from its coastline with the South China Sea, the country is completely surrounded by the Malaysian state of Sarawak. It is separated into two parts by the Sarawak district of Limbang. Brunei is the only sovereign state completely on the island of Borneo; the remainder of the island's territory is divided between the nations of Malaysia and Indonesia. Brunei's population was 423,196 in 2016.[11]"
"Bulgaria","https://en.wikipedia.org/wiki/Bulgaria","Bulgaria (/bʌlˈɡɛəriə, bʊl-/ ( listen); Bulgarian: България, tr. Bǎlgariya), officially the Republic of Bulgaria (Bulgarian: Република България, tr. Republika Bǎlgariya, pronounced [rɛˈpublikɐ bɐɫˈɡarijɐ]), is a country in southeastern Europe. It is bordered by Romania to the north, Serbia and Macedonia to the west, Greece and Turkey to the south, and the Black Sea to the east. With a territory of 110,994 square kilometres (42,855 sq mi), Bulgaria is Europe's 16th-largest country."
"Burkina Faso","https://en.wikipedia.org/wiki/Burkina_Faso","Burkina Faso (UK: /bɜːrˈkiːnə ˌfæsoʊ/ bər-KEE-nə FA-soh; US: /bərˈkiːnə ˌfɑːsoʊ/ ( listen) bər-KEE-nə FAH-soh;[7] French: [buʁkina faso]) is a landlocked country in West Africa. It covers an area of around 274,200 square kilometres (105,900 sq mi) and is surrounded by six countries: Mali to the north; Niger to the east; Benin to the southeast; Togo and Ghana to the south; and Ivory Coast to the southwest. Its capital is Ouagadougou. In 2014 its population was estimated at just over 17.3 million.[2] Burkina Faso is a francophone country, with French as an official language of government and business. Formerly called the Republic of Upper Volta (1958-1984), the country was renamed ""Burkina Faso"" on 4 August 1984 by then-President Thomas Sankara. The citizens of Burkina Faso are known as Burkinabé (/bərˈkiːnəbeɪ/ bər-KEE-nə-bay)."
"Burundi","https://en.wikipedia.org/wiki/Burundi","Burundi (/bəˈrʊndi/ or /bəˈrʌndi/), officially the Republic of Burundi (Kirundi: Republika y'Uburundi,[8] [buˈɾundi]; French: République du Burundi, [buʁundi] or [byʁyndi]), is a landlocked country in the African Great Lakes region of East Africa, bordered by Rwanda to the north, Tanzania to the east and south, and the Democratic Republic of the Congo to the west. It is also considered part of Central Africa. Burundi's capital is Bujumbura. The southwestern border is adjacent to Lake Tanganyika."
"Cambodia","https://en.wikipedia.org/wiki/Cambodia","Cambodia (/kæmˈboʊdiə/ ( listen);[7] Khmer: កម្ពុជា, or Kampuchea IPA: [kɑmpuˈciə]), officially known as the Kingdom of Cambodia (Khmer: ព្រះរាជាណាចក្រកម្ពុជា, Preăh Réachéanachâk Kâmpŭchéa, IPA: [ˈprĕəh riəciənaːˈcɑk kɑmpuˈciə]), is a country located in the southern portion of the Indochina Peninsula in Southeast Asia. It is 181,035 square kilometres (69,898 square miles) in area, bordered by Thailand to the northwest, Laos to the northeast, Vietnam to the east, and the Gulf of Thailand to the southwest."
"Cameroon","https://en.wikipedia.org/wiki/Cameroon","Cameroon (/ˌkæməˈruːn/; French: Cameroun), officially the Republic of Cameroon (French: République du Cameroun), is a country in Central Africa. It is bordered by Nigeria to the west; Chad to the northeast; the Central African Republic to the east; and Equatorial Guinea, Gabon and the Republic of the Congo to the south. Cameroon's coastline lies on the Bight of Biafra, part of the Gulf of Guinea and the Atlantic Ocean."
"Canada","https://en.wikipedia.org/wiki/Canada","Canada (/ˈkænədə/ ( listen); French: [kanadɑ]) is a country in the northern part of North America. Its ten provinces and three territories extend from the Atlantic to the Pacific and northward into the Arctic Ocean, covering 9.98 million square kilometres (3.85 million square miles), making it the world's second-largest country by total area and the fourth-largest country by land area. Canada's southern border with the United States is the world's longest bi-national land border. The majority of the country has a cold or severely cold winter climate, but southerly areas are warm in summer. Canada is sparsely populated, the majority of its land territory being dominated by forest and tundra and the Rocky Mountains. It is highly urbanized with 82 per cent of the 35.15 million people concentrated in large and medium-sized cities, many near the southern border. Its capital is Ottawa, and its five largest metropolitan areas are Toronto, Montreal, Vancouver, Calgary and Ottawa."
"Cape Verde","https://en.wikipedia.org/wiki/Cape_Verde","Cape Verde (/ˌkeɪp ˈvɜːrd/) or Cabo Verde (/ˌkɑːboʊ ˈvɜːrdeɪ/, /ˌkæb-/) (Portuguese: Cabo Verde, pronounced [ˈkaβu ˈveɾðɨ]), officially the Republic of Cabo Verde,[9] is an island country spanning an archipelago of 10 volcanic islands in the central Atlantic Ocean. Located 570 kilometres (350 mi) west of the Cape Verde Peninsula in West Africa, the islands cover a combined area of slightly over 4,000 square kilometres (1,500 sq mi)."
"Central African Republic","https://en.wikipedia.org/wiki/Central_African_Republic","The Central African Republic (CAR; Sango: Ködörösêse tî Bêafrîka; French: République centrafricaine  pronounced [ʁepyblik sɑ̃tʁafʁikɛn], or Centrafrique [sɑ̃tʁafʁik]) is a landlocked country in Central Africa. It is bordered by Chad to the north, Sudan to the northeast, South Sudan to the east, the Democratic Republic of the Congo to the south, the Republic of the Congo to the southwest and Cameroon to the west. The CAR covers a land area of about 620,000 square kilometres (240,000 sq mi) and had an estimated population of around 4.6 million as of 2016[update]."
"Chad","https://en.wikipedia.org/wiki/Chad","Chad (/tʃæd/ ( listen); Arabic: تشاد‎ Tshād; French: Tchad pronounced [tʃa(d)]), officially the Republic of Chad (Arabic: جمهورية تشاد‎ Jumhūrīyat Tshād; French: République du Tchad lit. ""Republic of the Chad""), is a sovereign state in Central Africa. It is bordered by Libya to the north, Sudan to the east, the Central African Republic to the south, Cameroon and Nigeria to the southwest and Niger to the west. It is the fifth largest country in Africa in terms of area."
"Chile","https://en.wikipedia.org/wiki/Chile","Chile (/ˈtʃɪli/;[8] Spanish: [ˈtʃile]), officially the Republic of Chile (Spanish:  República de Chile (help·info)), is a South American country occupying a long, narrow strip of land between the Andes to the east and the Pacific Ocean to the west. It borders Peru to the north, Bolivia to the northeast, Argentina to the east, and the Drake Passage in the far south. Chilean territory includes the Pacific islands of Juan Fernández, Salas y Gómez, Desventuradas, and Easter Island in Oceania. Chile also claims about 1,250,000 square kilometres (480,000 sq mi) of Antarctica, although all claims are suspended under the Antarctic Treaty."
"China","https://en.wikipedia.org/wiki/China","China emerged as one of the world's earliest civilizations in the fertile basin of the Yellow River in the North China Plain. For millennia, China's political system was based on hereditary monarchies, or dynasties, beginning with the semi-legendary Xia dynasty. Since then, China has expanded, fractured, and re-unified numerous times. In 1912, the Republic of China (ROC) replaced the last dynasty and ruled the Chinese mainland until 1949, when it was defeated by the communist People's Liberation Army in the Chinese Civil War. The Communist Party established the People's Republic of China in Beijing on 21 September 1949, while the ROC government retreated to Taiwan with its present de facto capital in Taipei. Both the ROC and PRC continue to claim to be the legitimate government of all China, though the latter has more recognition in the world and controls more territory."
"Colombia","https://en.wikipedia.org/wiki/Colombia","Colombia (/kəˈlʌmbiə/ kə-LUM-biə or /kəˈlɒmbiə/ kə-LOM-biə; Spanish: [ko̞ˈlõ̞mbjä] ( listen)), officially the Republic of Colombia (Spanish:  República de Colombia (help·info)),[Note 1] is a sovereign state largely situated in the northwest of South America, with territories in Central America. Colombia shares a border to the northwest with Panama, to the east with Venezuela and Brazil and to the south with Ecuador and Peru.[11] It shares its maritime limits with Costa Rica, Nicaragua, Honduras, Jamaica, Haiti and the Dominican Republic.[12] It is a unitary, constitutional republic comprising thirty-two departments. The territory of what is now Colombia was originally inhabited by indigenous peoples, including the Muisca, Quimbaya and the Tairona."
"Comoros","https://en.wikipedia.org/wiki/Comoros","The Comoros (/ˈkɒməroʊz/ ( listen); Arabic: جزر القمر‎, Juzur al-Qumur / Qamar), officially the Union of the Comoros (Comorian: Udzima wa Komori, French: Union des Comores, Arabic: الاتحاد القمري‎ al-Ittiḥād al-Qumurī / Qamarī), is a sovereign archipelago island nation in the Indian Ocean located at the northern end of the Mozambique Channel off the eastern coast of Africa between northeastern Mozambique and northwestern Madagascar. Other countries near the Comoros are Tanzania to the northwest and the Seychelles to the northeast. Its capital is Moroni, on Grande Comore. The Union of the Comoros has three official languages – Comorian, Arabic and French. The religion of the majority of the population is Islam."
"Democratic Republic of the Congo","https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo","The Democratic Republic of the Congo (/ˈkɒŋɡoʊ/; French pronunciation: ​[kɔ̃ɡo]; French: République démocratique du Congo), also known as Zaire, DR Congo, East Congo, DRC, DROC, Congo-Kinshasa or simply the Congo,[6][7] is a country located in Central Africa. The DRC borders the Central African Republic and South Sudan to the north; Uganda, Rwanda, Burundi and Tanzania to the east; Zambia to the south; Angola to the southwest; and the Republic of the Congo and the Atlantic Ocean to the west."
"Republic of the Congo","https://en.wikipedia.org/wiki/Republic_of_the_Congo","The Republic of the Congo (French: République du Congo), also known as Congo-Brazzaville, West Congo, the Congo Republic[5] or simply Congo, is a country in Central Africa. It is bordered by five countries: Gabon and the Atlantic Ocean to the west; Cameroon to the northwest; the Central African Republic to the northeast; the Democratic Republic of the Congo to the east and south; and the Angolan exclave of Cabinda to the southwest."
"Costa Rica","https://en.wikipedia.org/wiki/Costa_Rica","Costa Rica (/ˌkɒstə ˈriːkə/ ( listen); Spanish: [ˈkosta ˈrika]; ""Rich Coast""), officially the Republic of Costa Rica (Spanish: República de Costa Rica), is a country in Central America, bordered by Nicaragua to the north, Panama to the southeast, the Pacific Ocean to the west, the Caribbean Sea to the east, and Ecuador to the south of Cocos Island. It has a population of around 4.9 million,[3] in a land area of 51,060 square kilometers (19,714 square miles); over 300,000 live in the capital and largest city, San José[7] with a population of an estimated 333,980 in 2015.[7]"
"Croatia","https://en.wikipedia.org/wiki/Croatia","Croatia (/kroʊˈeɪʃə/ ( listen) kroh-AY-shə; Croatian: Hrvatska [xř̩ʋaːtskaː]), officially the Republic of Croatia (Croatian: Republika Hrvatska,  listen (help·info)), is a country situated at the crossroads of Central and Southeast Europe, on the Adriatic Sea. Its capital city is Zagreb, which forms one of the country's primary subdivisions, along with its twenty counties. Croatia has a total area of 56,594 square kilometres (21,851 square miles) and a population of 4.28 million, most of whom are Roman Catholics."
"Cuba","https://en.wikipedia.org/wiki/Cuba","Cuba (Spanish pronunciation: [ˈkuβa]), officially the Republic of Cuba (Spanish:  República de Cuba (help·info)), is a country comprising the island of Cuba as well as Isla de la Juventud and several minor archipelagos. Cuba is located in the northern Caribbean where the Caribbean Sea, the Gulf of Mexico, and the Atlantic Ocean meet. It is south of both the U.S. state of Florida and the Bahamas, west of Haiti, and north of Jamaica. Havana is the largest city and capital; other major cities include Santiago de Cuba and Camagüey. Cuba is the largest island in the Caribbean, with an area of 109,884 square kilometres (42,426 sq mi), and the second-most populous after Hispaniola, with over 11 million inhabitants.[12]"
